path_planet,path_labels,date_str
/planet/11N/18E-155N/1417_3281_13/PF-SR,/labels/1417_3281_13_11N/Labels/Raster/11N-117W-33N-L3H-SR/11N-117W-33N-L3H-SR-2018_01_01.tif,2018-01
/planet/11N/18E-155N/1417_3281_13/PF-SR,/labels/1417_3281_13_11N/Labels/Raster/11N-117W-33N-L3H-SR/11N-117W-33N-L3H-SR-2018_02_01.tif,2018-02
/planet/11N/18E-155N/1417_3281_13/PF-SR,/labels/1417_3281_13_11N/Labels/Raster/11N-117W-33N-L3H-SR/11N-117W-33N-L3H-SR-2018_03_01.tif,2018-03
/planet/11N/18E-155N/1417_3281_13/PF-SR,/labels/1417_3281_13_11N/Labels/Raster/11N-117W-33N-L3H-SR/11N-117W-33N-L3H-SR-2018_04_01.tif,2018-04
/planet/11N/18E-155N/1417_3281_13/PF-SR,/labels/1417_3281_13_11N/Labels/Raster/11N-117W-33N-L3H-SR/11N-117W-33N-L3H-SR-2018_05_01.tif,2018-05
/planet/11N/18E-155N/1417_3281_13/PF-SR,/labels/1417_3281_13_11N/Labels/Raster/11N-117W-33N-L3H-SR/11N-117W-33N-L3H-SR-2018_06_01.tif,2018-06
/planet/11N/18E-155N/1417_3281_13/PF-SR,/labels/1417_3281_13_11N/Labels/Raster/11N-117W-33N-L3H-SR/11N-117W-33N-L3H-SR-2018_07_01.tif,2018-07
/planet/11N/18E-155N/1417_3281_13/PF-SR,/labels/1417_3281_13_11N/Labels/Raster/11N-117W-33N-L3H-SR/11N-117W-33N-L3H-SR-2018_08_01.tif,2018-08
/planet/11N/18E-155N/1417_3281_13/PF-SR,/labels/1417_3281_13_11N/Labels/Raster/11N-117W-33N-L3H-SR/11N-117W-33N-L3H-SR-2018_09_01.tif,2018-09
/planet/11N/18E-155N/1417_3281_13/PF-SR,/labels/1417_3281_13_11N/Labels/Raster/11N-117W-33N-L3H-SR/11N-117W-33N-L3H-SR-2018_10_01.tif,2018-10
/planet/11N/18E-155N/1417_3281_13/PF-SR,/labels/1417_3281_13_11N/Labels/Raster/11N-117W-33N-L3H-SR/11N-117W-33N-L3H-SR-2018_11_01.tif,2018-11
/planet/11N/18E-155N/1417_3281_13/PF-SR,/labels/1417_3281_13_11N/Labels/Raster/11N-117W-33N-L3H-SR/11N-117W-33N-L3H-SR-2018_12_01.tif,2018-12
/planet/11N/18E-155N/1417_3281_13/PF-SR,/labels/1417_3281_13_11N/Labels/Raster/11N-117W-33N-L3H-SR/11N-117W-33N-L3H-SR-2019_01_01.tif,2019-01
/planet/11N/18E-155N/1417_3281_13/PF-SR,/labels/1417_3281_13_11N/Labels/Raster/11N-117W-33N-L3H-SR/11N-117W-33N-L3H-SR-2019_02_01.tif,2019-02
/planet/11N/18E-155N/1417_3281_13/PF-SR,/labels/1417_3281_13_11N/Labels/Raster/11N-117W-33N-L3H-SR/11N-117W-33N-L3H-SR-2019_03_01.tif,2019-03
/planet/11N/18E-155N/1417_3281_13/PF-SR,/labels/1417_3281_13_11N/Labels/Raster/11N-117W-33N-L3H-SR/11N-117W-33N-L3H-SR-2019_04_01.tif,2019-04
/planet/11N/18E-155N/1417_3281_13/PF-SR,/labels/1417_3281_13_11N/Labels/Raster/11N-117W-33N-L3H-SR/11N-117W-33N-L3H-SR-2019_05_01.tif,2019-05
/planet/11N/18E-155N/1417_3281_13/PF-SR,/labels/1417_3281_13_11N/Labels/Raster/11N-117W-33N-L3H-SR/11N-117W-33N-L3H-SR-2019_06_01.tif,2019-06
/planet/11N/18E-155N/1417_3281_13/PF-SR,/labels/1417_3281_13_11N/Labels/Raster/11N-117W-33N-L3H-SR/11N-117W-33N-L3H-SR-2019_07_01.tif,2019-07
/planet/11N/18E-155N/1417_3281_13/PF-SR,/labels/1417_3281_13_11N/Labels/Raster/11N-117W-33N-L3H-SR/11N-117W-33N-L3H-SR-2019_08_01.tif,2019-08
/planet/11N/18E-155N/1417_3281_13/PF-SR,/labels/1417_3281_13_11N/Labels/Raster/11N-117W-33N-L3H-SR/11N-117W-33N-L3H-SR-2019_09_01.tif,2019-09
/planet/11N/18E-155N/1417_3281_13/PF-SR,/labels/1417_3281_13_11N/Labels/Raster/11N-117W-33N-L3H-SR/11N-117W-33N-L3H-SR-2019_10_01.tif,2019-10
/planet/11N/18E-155N/1417_3281_13/PF-SR,/labels/1417_3281_13_11N/Labels/Raster/11N-117W-33N-L3H-SR/11N-117W-33N-L3H-SR-2019_11_01.tif,2019-11
/planet/11N/18E-155N/1417_3281_13/PF-SR,/labels/1417_3281_13_11N/Labels/Raster/11N-117W-33N-L3H-SR/11N-117W-33N-L3H-SR-2019_12_01.tif,2019-12
/planet/17N/17E-134N/2235_3403_13/PF-SR,/labels/2235_3403_13_17N/Labels/Raster/17N-81W-29N-L3H-SR/17N-81W-29N-L3H-SR-2018_01_01.tif,2018-01
/planet/17N/17E-134N/2235_3403_13/PF-SR,/labels/2235_3403_13_17N/Labels/Raster/17N-81W-29N-L3H-SR/17N-81W-29N-L3H-SR-2018_02_01.tif,2018-02
/planet/17N/17E-134N/2235_3403_13/PF-SR,/labels/2235_3403_13_17N/Labels/Raster/17N-81W-29N-L3H-SR/17N-81W-29N-L3H-SR-2018_03_01.tif,2018-03
/planet/17N/17E-134N/2235_3403_13/PF-SR,/labels/2235_3403_13_17N/Labels/Raster/17N-81W-29N-L3H-SR/17N-81W-29N-L3H-SR-2018_04_01.tif,2018-04
/planet/17N/17E-134N/2235_3403_13/PF-SR,/labels/2235_3403_13_17N/Labels/Raster/17N-81W-29N-L3H-SR/17N-81W-29N-L3H-SR-2018_05_01.tif,2018-05
/planet/17N/17E-134N/2235_3403_13/PF-SR,/labels/2235_3403_13_17N/Labels/Raster/17N-81W-29N-L3H-SR/17N-81W-29N-L3H-SR-2018_06_01.tif,2018-06
